frame,rods,integrate_ms,sleep_ms,broadphase_ms,warmstart_ms,buildIslands_ms,solve_ms,floorSolve_ms,posCorrect_ms,pbcWrap_ms,render_ms,contacts,islands
160,100,1.31229,0.148581,70.1772,0.001252,0.066626,0.000873,0,0.001416,0.387833,0.195458,0,0
161,100,1.30655,0.147959,65.2025,0.001209,0.061127,0.001001,0,0.001333,0.387207,0.177334,0,0
162,100,1.2865,0.144043,63.1432,0.001247,0.058294,0.001293,0,0.001331,0.376496,0.169083,0,0
163,100,1.2785,0.144124,62.6006,0.000918,0.05571,0.000667,0,0.001502,0.378087,0.16075,0,0
164,100,1.28287,0.144583,61.8843,0.001044,0.057248,0.001001,0,0.001333,0.377831,0.176459,0,0
165,100,1.30854,0.149378,63.954,0.005791,0.086043,0.018667,0,0.001832,0.389001,0.168916,0,0
166,100,1.31879,0.149582,65.9767,0.001333,0.058249,0.000915,0,0.001581,0.39058,0.158458,0,0
167,100,1.293,0.147832,62.5101,0.001125,0.057374,0.001004,0,0.001461,0.386085,0.168959,0,0
168,100,1.30662,0.149456,62.5001,0.00108,0.056381,0.001,0,0.001208,0.389167,0.158167,0,0
169,100,1.30537,0.148081,62.0984,0.005085,0.081041,0.018585,0,0.001498,0.38508,0.150125,0,0
170,100,1.312,0.148838,61.9668,0.001126,0.056752,0.000869,0,0.001329,0.389335,0.153625,0,0
171,100,1.29792,0.145875,62.4269,0.001336,0.061586,0.00108,0,0.001333,0.379248,0.193125,0,0
172,100,1.30859,0.149501,61.2405,0.001165,0.059254,0.001165,0,0.001376,0.388583,0.174958,0,0
173,100,1.29379,0.1475,60.0464,0.001254,0.055918,0.001084,0,0.001457,0.3835,0.158334,0,0
174,100,1.30904,0.148292,60.7052,0.001337,0.05596,0.000918,0,0.001377,0.388123,0.15625,0,0
175,100,1.30146,0.147877,60.9396,0.005502,0.094042,0.030959,0,0.001501,0.385293,0.168,0,0
176,100,1.30058,0.147834,60.6965,0.005335,0.080501,0.018546,0,0.001586,0.384126,0.150584,0,0
177,100,1.29579,0.148091,61.6734,0.001331,0.055915,0.00071,0,0.00142,0.383833,0.143375,0,0
178,100,1.29933,0.147043,61.3824,0.001161,0.055836,0.000874,0,0.00146,0.385207,0.156,0,0
179,100,1.30104,0.147915,61.6536,0.008205,0.107583,0.038203,0,0.001752,0.384296,0.143959,0,0
180,100,1.30358,0.14904,61.6332,0.001,0.056125,0.001001,0,0.00146,0.387787,0.154041,0,0
181,100,1.27567,0.144294,59.815,0.001332,0.056298,0.000876,0,0.001506,0.377338,0.144667,0,0
182,100,1.27371,0.144042,59.9707,0.001086,0.053874,0.000873,0,0.001543,0.377124,0.141125,0,0
183,100,1.273,0.145542,60.7875,0.001414,0.063419,0.000919,0,0.001461,0.378165,0.1865,0,0
184,100,1.30321,0.14817,63.032,0.001163,0.063168,0.000997,0,0.001249,0.384043,0.172959,0,0
185,100,1.29604,0.147623,61.0181,0.001166,0.05633,0.000917,0,0.001332,0.385459,0.159958,0,0
186,100,1.31333,0.150169,60.951,0.000998,0.056625,0.000961,0,0.001332,0.388831,0.167125,0,0
187,100,1.30508,0.154709,60.2649,0.001252,0.05696,0.000875,0,0.001418,0.38513,0.154875,0,0
188,100,1.29804,0.14821,60.1009,0.001085,0.056541,0.000912,0,0.001374,0.384168,0.149916,0,0
189,100,1.30192,0.149083,60.1593,0.001126,0.055998,0.000833,0,0.001251,0.387165,0.155666,0,0
190,100,1.31925,0.150165,60.2141,0.001294,0.058835,0.000792,0,0.001336,0.388792,0.173083,0,0
191,100,1.28567,0.147462,59.205,0.001207,0.062544,0.00104,0,0.001331,0.38233,0.176791,0,0
192,100,1.26867,0.1455,59.6026,0.001003,0.056084,0.000961,0,0.001624,0.377289,0.160458,0,0
193,100,1.26596,0.145794,57.8032,0.001125,0.055251,0.000711,0,0.001291,0.376913,0.158125,0,0
194,100,1.28871,0.148003,60.0427,0.00129,0.055667,0.000957,0,0.001289,0.383208,0.147291,0,0
195,100,1.30387,0.149373,59.3677,0.00096,0.055669,0.001039,0,0.001373,0.386499,0.15675,0,0
196,100,1.29883,0.148958,58.6438,0.001208,0.057289,0.001084,0,0.001454,0.386249,0.152125,0,0
197,100,1.31571,0.150207,58.4985,0.001085,0.056461,0.000749,0,0.001209,0.386292,0.139458,0,0
198,100,1.30946,0.149127,58.2591,0.000998,0.053832,0.001085,0,0.001499,0.383792,0.148125,0,0
199,100,1.29891,0.149375,58.5287,0.001171,0.05821,0.001,0,0.001252,0.386465,0.155625,0,0
200,100,1.29854,0.148918,57.359,0.001171,0.05675,0.000959,0,0.001418,0.384919,0.158375,0,0
201,100,1.28608,0.146959,55.7894,0.001168,0.055497,0.001166,0,0.001208,0.378253,0.152208,0,0
202,100,1.27112,0.146415,55.0757,0.001169,0.055541,0.001124,0,0.001377,0.376666,0.1455,0,0
203,100,1.26667,0.146042,55.114,0.001252,0.053583,0.000876,0,0.001377,0.377248,0.147709,0,0
204,100,1.30221,0.1495,55.9042,0.00129,0.056376,0.00146,0,0.001503,0.384874,0.143791,0,0
205,100,1.28188,0.147748,55.3058,0.001212,0.054334,0.001165,0,0.001421,0.381752,0.147542,0,0
206,100,1.29363,0.149082,56.2879,0.00116,0.055046,0.000958,0,0.00125,0.386461,0.150041,0,0
207,100,1.29837,0.150164,56.372,0.00129,0.055252,0.000957,0,0.001421,0.387127,0.145875,0,0
208,100,1.27921,0.147583,55.738,0.000999,0.05454,0.000956,0,0.001373,0.381623,0.146292,0,0
209,100,1.30134,0.150002,56.9757,0.000916,0.055622,0.000624,0,0.001415,0.385621,0.1415,0,0
210,100,1.37167,0.148292,57.067,0.004747,0.080251,0.018665,0,0.001664,0.380042,0.140333,0,0
211,100,1.27283,0.153166,56.2538,0.001254,0.054162,0.001166,0,0.00137,0.377874,0.138334,0,0
212,100,1.27446,0.154038,55.6045,0.001207,0.05408,0.000876,0,0.001499,0.377497,0.140791,0,0
213,100,1.26825,0.145706,55.5135,0.001042,0.054583,0.000875,0,0.001378,0.377167,0.137208,0,0
214,100,1.2682,0.14654,55.5685,0.005166,0.23525,0.173294,0,0.001626,0.37646,0.140625,0,0
215,100,1.27529,0.146751,55.8166,0.001161,0.053833,0.001125,0,0.001289,0.377709,0.136125,0,0
216,100,1.28854,0.148916,56.3588,0.001253,0.055834,0.000998,0,0.00158,0.381083,0.149708,0,0
217,100,1.29634,0.150793,57.4499,0.00121,0.055503,0.001083,0,0.001585,0.385957,0.146291,0,0
218,100,1.29196,0.149919,57.1071,0.000915,0.055042,0.001213,0,0.001291,0.384334,0.152708,0,0
219,100,1.28904,0.149916,57.3647,0.001076,0.059543,0.001042,0,0.00146,0.383709,0.176583,0,0
220,100,1.36334,0.159588,59.9906,0.001499,0.073709,0.001339,0,0.001875,0.407374,0.176416,0,0
221,100,1.28304,0.1475,56.3141,0.001334,0.063253,0.001048,0,0.001587,0.379005,0.178041,0,0
222,100,1.28975,0.147291,56.5836,0.000792,0.057917,0.000918,0,0.00121,0.377672,0.164583,0,0
223,100,1.27792,0.147837,56.4015,0.000876,0.056581,0.001166,0,0.001284,0.379874,0.170208,0,0
224,100,1.30517,0.151497,57.2788,0.001293,0.058584,0.000998,0,0.001499,0.385331,0.161083,0,0
225,100,1.29383,0.150412,57.6338,0.00096,0.055208,0.001003,0,0.001581,0.383456,0.147208,0,0
226,100,1.2815,0.148622,57.4947,0.001043,0.055541,0.000999,0,0.001539,0.382375,0.140958,0,0
227,100,1.30829,0.14875,57.5406,0.001418,0.055707,0.001079,0,0.001208,0.381039,0.146167,0,0
228,100,1.289,0.148873,57.9847,0.001211,0.056172,0.000999,0,0.001252,0.381751,0.151125,0,0
229,100,1.28854,0.150085,56.8923,0.000916,0.057413,0.001,0,0.001416,0.384792,0.156667,0,0
230,100,1.27442,0.148167,56.2415,0.001,0.055669,0.000787,0,0.001294,0.378,0.155459,0,0
